CP10<0.8>-D PIN,0.058
CP10<0.8>-E90 PIN,0.056
CP10<0.8>-F PIN,0.058
CP10<0.8>-G60 PIN,0.044
CP10<0.8>-G90 PIN,0.046
CP10<0.8>-GX PIN,0.046
CP10<0.8>-H PIN,0.056
CP10<0.8>-K PIN,0.058
CP10<0.8>-KX PIN,0.076
CP10<1.5>-D PIN,0.12
CP10<1.5>-D3 PIN,0.118
CP10<1.5>-E90 PIN,0.118
CP10<1.5>-F PIN,0.12
CP10<1.5>-G90 PIN,0.108
CP10<1.5>-GX PIN,0.108
CP10<1.5>-H PIN,0.118
CP10<1.5>-K PIN,0.116
CP10<1.5>-KX PIN,0.128
CP10<1>-A PIN,0.049
CP10<1>-D PIN,0.08
CP10<1>-D1 PIN,0.079
CP10<1>-E90 PIN,0.078
CP10<1>-F PIN,0.08
CP10<1>-G60 PIN,0.066
CP10<1>-G90 PIN,0.068
CP10<1>-GX PIN,0.068
CP10<1>-H PIN,0.078
CP10<1>-J PIN,0.072
CP10<1>-K PIN,0.076
CP10<1>-KX PIN,0.086
CP10<1>-L PIN,0.072
CP10<1>-QA PIN,0.08
CP10<1>-QF PIN,0.086
CP10<1>-QN PIN,0.082
CP10<1>-R PIN,0.053
CP10<1>-T PIN,0.049
CP12-A PIN,0.104
CP12-C PIN,0.11
CP12-CX PIN,0.108
CP12-D PIN,0.134
CP12-D1 PIN,0.135
CP12-D2 PIN,0.131
CP12-E90 PIN,0.132
CP12-F PIN,0.134
CP12-G60 PIN,0.12
CP12-G90 PIN,0.122
CP12-GX PIN,0.122
CP12-H PIN,0.132
CP12-J PIN,0.114
CP12-K PIN,0.13
CP12-KX PIN,0.142
CP12-L PIN,0.126
CP12-QN PIN,0.14
CP12-R PIN,0.108
CP12-T PIN,0.104
CP15-D PIN,0.204
CP15-D1 PIN,0.203
CP15-D1 PIN,0.023
CP15-D3 PIN,0.203
CP15-D3 PIN,0.023
CP15-E90 PIN,0.206
CP15-F PIN,0.208
CP15-G60 PIN,0.194
CP15-G90 PIN,0.198
CP15-GX PIN,0.196
CP15-H PIN,0.202
CP15-K PIN,0.198
CP15-KX PIN,0.196
CP15-L PIN,0.198
CP15-V PIN,0.416
CP15-V PIN,0.206
CP20-A PIN,0.16
CP20-C PIN,0.168
CP20-CX PIN,0.164
CP20-D PIN,0.232
CP20-D<2> PIN,0.26
CP20-D<3> PIN,0.4
CP20-D1 PIN,0.236
CP20-D2 PIN,0.237
CP20-D3 PIN,0.238
